count(*)	genre
2706	African Ethnic/Traditional
2349	Afrikaans
148948	Ambient/New Age
6501	Asian
92	Bengali
111	Bhojpuri
380335	Blues
87672	Bollywood
42	Cancion de autor
6425	Cantonese Pop
178820	Christian/Gospel
38933	Christmas
235	Classic Arabic/Tarab
1632077	Classical
155632	Comedy
717989	Country and Western
5151275	Dance
574	Dangdut
1124	DeutschPop
14520	Devotional
450900	Easy Listening/Oldies
1009137	Electronica
10596	Flamenco
677132	Folk/Roots
13382	Ghazal
32	Greek
244	Gujarati
7993	Hindustani Classical
4485722	Indie/Alternative
7109	Indipop & Remix
1919	Instrumental
11123	Irish Music
42	Iskelda
1375	Islamiyat
6209	Italiana
1067090	Jazz
585	Khaleeji
146287	Kids/Novelty
158695	Latin Music
6572	Malayalam
6430	Mandarin Pop
57	Marathi
2491254	Metal
2316	Nederlandstalig
5055	Oriental Pop
7	Other
19566258	Pop
1911	Punjabi
138	Punk
3376755	Rap/Hip Hop
713400	Reggae
6141	Regional/Others
12945999	Rock
1630	rock_and_pop
12559	Schlager
49	Shanson
3170121	Soul/R 'n' B/Funk
898993	Soundtracks/Musicals/Theatre
50755	Spoken Word
1531	Tamil
314	Telugu
14786	Variété Française
292095	World
